Dyer,2127,1,36.0465,-89.3777
Cameron,27083,1077,26.0566,-97.4235
Crane,337,17,31.3919,-102.3503
DeWitt,879,44,28.9829,-97.5050
Van Zandt,1064,67,32.5540,-95.8639
Clallam,1139,1,48.1229,-123.0911
Monongalia,6451,252,39.6471,-79.9974
Tucker,267,2,39.0814,-79.6455
Bayfield,207,47,46.4354,-91.0600
Calumet,1876,25,43.9491,-88.0942
Eau Claire,3118,1,44.8030,-91.4387
Ozaukee,6560,630,43.3847,-87.9439
Sauk,3399,184,43.4814,-89.7719
Walworth,11890,493,42.8372,-88.7340
Cullman,3756,20,34.0452,-86.8837
Lamar,14494,397,33.6689,-95.5462
Lauderdale,30565,2038,35.8796,-89.4050
Amador,444,1,38.4190,-120.8232
Imperial,37042,651,33.3548,-115.7306
Broomfield,9627,792,39.9541,-105.0527
New London,37124,2545,41.3502,-72.1023
Dawson,34049,298,32.9307,-102.1256
Heard,877,84,33.3689,-85.1037
Miller,3936,43,33.4361,-93.9960
Muscogee,20427,570,32.5100,-84.8771
Oconee,5997,90,33.9474,-83.5334
Pickens,9599,335,33.3220,-87.9040
Randolph,45030,1778,38.7968,-79.8967
Spalding,11337,648,33.2418,-84.2747
Terrell,10474,1156,30.1508,-102.4080
Tift,8489,429,31.3389,-83.5949
Turner,5116,461,31.6710,-83.6354
Worth,9672,721,31.5103,-83.7368
Bingham,269,1,43.2235,-112.3755
Canyon,14632,345,43.7864,-116.9429
Kootenai,3751,3,47.6726,-116.7472
McLean,8745,317,47.4905,-100.7104
Allen,57991,4650,30.8670,-92.7986
Vanderburgh,9312,89,38.0240,-87.5120
Vigo,5129,381,39.4936,-87.2667
Reno,2113,1,38.1011,-97.9920
Riley,2759,23,39.2990,-96.8276
Calloway,1995,58,36.6145,-88.3206
Catahoula,3623,139,31.8492,-91.6599
De Soto,11494,720,32.0181,-93.7237
Rapides,22128,750,31.3414,-92.4096
Tangipahoa,34982,1354,30.7646,-90.5114
Chisago,1338,62,45.6875,-92.9654
Fillmore,1009,45,40.4149,-97.5871
Humphreys,2315,275,36.0939,-87.7846
Lawrence,21370,1480,35.3218,-87.3013
Marshall,63677,901,40.0139,-80.7328
Rankin,13705,292,32.2778,-89.9896
Tippah,3672,535,34.6380,-88.8431
Dunklin,1378,97,36.0404,-90.1158
Kansas City,40826,981,36.0404,-90.1158
Buffalo,6341,124,44.4214,-92.0044
Nye,2354,23,38.8655,-117.9238
Cheshire,2327,113,42.9494,-72.2997
Do̱a Ana,12600,90,42.9494,-72.2997
McKinley,71144,2419,35.0708,-108.8484
Niagara,32588,1376,43.1451,-78.8777
Oneida,32802,1294,45.8047,-89.1708
Carteret,1777,161,34.6973,-77.0572
