fips,county,Lat,Long
21227,Warren,36.8421,-86.53
23019,Penobscot,44.7835,-68.7352
25011,Franklin,42.6063,-72.7434
27131,Rice|Dakota,44.4551,-93.1697
28011,Bolivar,34.09,-90.7206
28027,Coahoma,34.3222,-90.4542
28033,DeSoto,34.85,-89.9921
28089,Madison,32.5434,-90.3142
28111,Perry,31.2036,-89.0272
29183,St. Charles,38.8664,-90.2084
29510,St. Louis,38.6358,-90.2451
31001,Adams,40.4377,-98.4409
31111,Lincoln,40.7539,-100.7319
33001,Belknap|Merrimack,43.443,-71.5937
33013,Merrimack,43.2232,-71.7129
34001,Atlantic,39.564,-74.5961
36017,Chenango,42.624,-75.3353
36031,Essex,43.8345,-73.7647
36041,Hamilton,43.5944,-74.3822
36045,Jefferson,43.7351,-76.1344
36051,Livingston,42.5838,-77.7915
36113,Warren,43.5614,-73.6588
36115,Washington,43.4082,-73.2617
37071,Gaston,35.2652,-81.0805
37081,Guilford|Davidson|Randolph|Forsyth,35.9905,-79.9937
37093,Hoke,34.9358,-79.2999
37109,Lincoln,35.4193,-80.9999
37125,Moore,35.2533,-79.2845
37129,New Hanover,34.123,-77.8834
38059,Morton,46.7283,-101.5026
39005,Ashland,40.6584,-82.3144
39023,Clark,39.9295,-83.6139
39041,Delaware,40.2219,-82.8802
39077,Huron,41.0796,-82.4066
39109,Miami,40.1504,-84.2438
42001,Adams,39.9813,-77.2493
42011,Berks,40.3711,-75.6306
42069,Lackawanna,41.4846,-75.666
42133,York,40.1542,-76.7515
45061,Lee,34.2202,-80.2483
47021,Cheatham,36.2607,-87.0412
47147,Robertson,36.4239,-86.7976
47165,Sumner,36.3782,-86.4696
48285,Lavaca,29.4428,-96.9436
48309,McLennan,31.3818,-97.2127
48325,Medina,29.3532,-99.1621
48401,Rusk|Cherokee,31.8662,-94.9833
48479,Webb,27.6555,-99.6178
48485,Wichita,33.9072,-98.529
48491,Williamson,30.513,-97.7382
49003,Box Elder,41.6124,-112.125
49005,Cache,41.9116,-111.9356
51036,Charles City,37.3441,-77.0687
51760,Richmond,37.5295,-77.4756
53005,Benton,46.2826,-119.2937
54055,Mercer,37.3688,-81.0961
55009,Brown,44.317,-88.0972
55063,La Crosse,43.9075,-90.9165
55131,Washington,43.4204,-88.3443
56039,Teton,43.7737,-111.0312
1017,Chambers,32.7876,-85.3057
1097,Mobile,30.2525,-88.1438
1127,Walker,33.7503,-87.0483
4023,Santa Cruz,31.6645,-110.6426
4025,Yavapai,35.2171,-112.4913
5007,Benton,36.4291,-94.3713
5009,Boone,36.4128,-92.9068
5019,Clark,34.0005,-93.3376
5031,Craighead,35.9116,-90.8011
5035,Crittenden,35.2267,-90.3241
5053,Grant,34.2996,-92.4225
5055,Greene,36.2092,-90.5043
5063,Independence,35.7672,-91.5708
5111,Poinsett,35.4868,-90.3559
5113,Polk,34.581,-94.2374
5115,Pope,35.328,-93.2417
5129,Searcy,36.029,-92.8078
5131,Sebastian,35.3285,-94.2793
